[2026-09-08 14:47:16] Pixsel__Eymen | olu gruptan nıye cıktın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:18:24] kamran2 | nedr kasıyon? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:18:29] algomii4649 | kim iki Elmas kılıcı nedir kim veriyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:21:55] sevo_16 | Neden kestin? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:25:55] sevo_16 | odunu olan? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:27:46] YUSUFBABAPRAXDD | burayı yok mu etcez | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:28:18] adala7 | gece görüşünü nasıl açıy9z | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:28:50] JakeMonkey5749 | beyler takimsak niye vurunuyonuz | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 16:30:40] sevo_16 | team istek atim mi size? | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 16:31:15] sevo_16 | niye herkez tpa atio | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 16:31:57] xtentaction | 2 ark gelebilir mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:33:14] kamran2 | bura kimin? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:33:23] xtentaction | nası alcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:37:34] prolaysgamer | ağlıyon mu simdi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:42:57] xtentaction | odununuz var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:43:16] sevo_16 | kuzy kim lan | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:44:44] Clawwolf | algomii ben mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:45:17] RankCloth1754 | algomi team olak mı | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 16:46:36] algomii4649 | küstün mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:46:45] RankCloth1754 | algomii setin var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:47:06] RankCloth1754 | netherite mi | enyakin=nether-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 16:50:15] Clawwolf | biri kaldı ama kim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:52:32] BetaPro51 | acaba para nası kascam | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 16:54:20] adala7 | nasıl yerix | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:54:32] adala7 | nasıl yerdi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:54:35] kerem | neden tp atmıyon | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 16:54:56] adala7 | . koridor var mıydı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:55:08] algomii4649 | kabul et ben de sana kendi beas mi göstereyim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 16:57:22] Clawwolf | jake baseyi nası ezdim:D | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:01:19] DR_TK187 | :/ahta totemin tahmini değeri kaç rehber | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:02:45] YUSUFBABAPRAXDD | nereye gittin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:02:58] Clawwolf | kim kesti söyle kesim kesebilirsem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:03:20] Xarot4604 | Swihgt nası çıktın oraya | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:03:24] Clawwolf | jake kim kesti | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:03:24] YUSUFBABAPRAXDD | tenti hangi biyomdasın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:04:30] SakalliEjder | madende olan var mı tpa atim | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 17:04:41] Clawwolf | nie arkadaşımı kestin? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:05:30] Tenticra | knk bu kim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:05:38] DR_TK187 | 2 toteme kaç net | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:05:42] RivalWheel8582 | gizli mesaj nasıl | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:06:05] RivalWheel8582 | rehber gizli mesaj nasıl | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:06:23] DR_TK187 | 2 toteme kaç net veri̇rsi̇ni̇z | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:07:09] DR_TK187 | 2 toteme kaç net verirsiniz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:07:45] DR_TK187 | 2 toteme kaç net verirsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:08:29] DR_TK187 | 2 toteme kaç net | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:08:45] DR_TK187 | rehber 2 toteme kaç net | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:08:47] ChillDoor6022 | bende rehber olmak istiyom nasıl olcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:09:30] RankCloth1754 | whell arkmolak mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:09:49] apathyharbi | DR_TK187 2 toteme 2 netni? nedemek | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:10:07] DR_TK187 | ya diımki 2 totme kaç net gerirsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:10:15] apathyharbi | DR_TK187 vermem? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:12:21] DR_TK187 | kaç netin var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:16:03] Adal | rehber bu rampage nıye hep afk | enyakin=kristal puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 17:18:02] apathyharbi | kurulum anahtarı nedir ChillDoor6022 | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 17:18:44] RivalWheel8582 | gizli mesaj nasıl rehber | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:18:52] kerem | beni neden öldürdün | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:19:02] algomii4649 | abi ark olak mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:19:26] Adal | sen lonewolfu tanıon mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:19:29] algomii4649 | Arkadaş olalım mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:19:57] Adal | sızce craftrıse mı burası mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:20:58] algomii4649 | abi ark olak mi Hyper | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:21:20] Hega_Ly4248 | Hangi orospu evladi patlattila basei | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:21:21] Adal | kac hesab actın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:22:16] YusufStyleee | bu hesapdan mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:22:52] JakeMonkey5749 | kim ihanet etti claw | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:23:12] SakalliEjder | madende olan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:23:21] wartem | beyler kazma satın alma komudu var mı? | enyakin=site-kredi puan=2 sebep=SINYAL_ZAYIF
[2026-09-21 17:25:54] algomii4649 | ark olak mi apaharbi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:26:25] algomii4649 | xLukaku ark olak mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:27:46] kamran2 | gidekmi?a | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:29:34] AyiBogan064 | şu sarı slaymdan nasıl eşya čïkarıyoz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:30:01] Clawwolf | bak maceyi tanıyon nası oynadıgını biliyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:34:46] AyiBogan064 | verimlilik 5 satan? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:35:26] mdoruk | ben afk aanına nasıl giderim | enyakin=kristal puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 17:36:19] kamran2 | bizde cıkak mı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:53:23] y55ttr | nıye mob cıkmıyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:55:01] YUSUFBABAPRAXDD | niye vuruyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 17:55:09] DR_TK187 | neden beni sürekli attı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:06:35] BetaPro51 | mace ne kadar belki birine satarim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:08:42] BetaPro51 | para nası kascam rehber | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 18:11:59] YUSUFBABAPRAXDD | nasıl atcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:12:17] RivalWheel8582 | rehber para nasıl atılır | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 18:13:46] erdem_vvp | net kasasını nasıl aciyoz | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 18:13:51] SungBeatle3744 | nasil spammer kiriliR | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:14:06] erdem_vvp | events kasasını nasıl aciyoz | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 18:15:28] SungBeatle3744 | nasil sapammer kırabilirim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:15:43] erdem_vvp | nasıl event kasası açabilirim | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 18:20:47] SungBeatle3744 | nasil atılır | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:22:56] SungBeatle3744 | kk nasil atio | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:24:56] RivalWheel8582 | rehber para atma nasıl | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 18:27:03] SungBeatle3744 | nasil olcak | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:36:45] Clawwolf | maceswapı kesebilirmiler? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:37:28] prolaysgamer | kaç tane lazım simdi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:37:52] Hyper | köye zırhlarını atan kim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:40:04] Dlight | kazma nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:45:29] s2ghamsi | koruma nası kapatcaz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:46:22] faksbunny | yok neden | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:46:48] s2ghamsi | acemı koruma nası kapatılıyp | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:49:33] s2ghamsi | evetn kasası nası buluyonuz ya | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 18:53:57] benbenimsensen | ne oldu canım neden kesmeye çalışıyorsun | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 18:54:14] s2ghamsi | gorev nası kolay bırseymı | enyakin=gunluk-gorev puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 18:56:05] Dlight | gelcen mi baseye | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:00:44] benbenimsensen | bir kuralı çiğnedim mi ben? | enyakin=kurallar puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 19:01:40] benbenimsensen | DR_TK187 baseine gidelim mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:02:39] Dlight | onarım satın alcak var mı | enyakin=site-kredi puan=2 sebep=SINYAL_ZAYIF
[2026-09-21 19:03:27] PrimusLY | DR_TK187 bir sorun mu var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:03:47] enes | az baya 20 k? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:04:01] Dlight | 40 k olur mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:04:28] PrimusLY | DR_TK187 sorun nedir | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:07:15] GainedSine97723 | base yapıyorum gelib bakar mısın taslağa hemde nasıl yere kurduguma | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:07:18] Dlight | 10 k olur mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:10:35] Dlight | uzun menzil koruması alcak var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:11:41] Hello4555 | şey admin event kasası nerede? | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 19:12:05] benbenimsensen | DR_TK187 gideyim mi ben | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:12:14] benbenimsensen | DR_TK187 gideyim mi ben?? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:13:03] lonewolf | ne kadar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:13:09] Dlight | kac verirsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:13:16] lonewolf | kaç istersin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:13:22] Dlight | kac verirsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:13:49] Dlight | kac verirsinnn | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:15:03] benbenimsensen | ödül ne verdi kelime oyunu? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:15:11] benbenimsensen | ödül ne verdi kelime oyunu? PrimusLY | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:16:57] lonewolf | nether zet satıyorum 200k çok uygun almak iseyen?? | enyakin=esya-satma puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 19:19:00] benbenimsensen | setim nerede lonewolf | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:19:20] Hello4555 | şey admi̇n sandiklar nerede??? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:20:26] YUSUFBABAPRAXDD | rehber nasıl event kasası açabiliyoz | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 19:22:19] Hello4555 | adminnnnnnnnnnnnnnnn kasalr neredeeeeeeee | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 19:22:51] Dlight | lone kazandın mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:23:19] Aransinh0 | team olcak var mı | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 19:23:28] Hello4555 | bukadarmı?? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:24:33] erdem_vvp | geri nasıl oyuna geri donuyoz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:25:41] enes | slime nerden bulim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:26:48] erdem_vvp | rehber ben kutu açma yeri deyim nasıl bidaha dünyaya doncem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:27:32] Clawwolf | event mi oldu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:29:02] Dlight | kac verir sin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:29:16] Dlight | kac vercen | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:29:20] Hyper | kaç istiyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:29:43] Dlight | ne kadar erirsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:30:28] lonewolf | evin nasıl olmuş | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:31:19] Dlight | olur mu onlyvan | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:32:06] Dlight | derin kosucu 2 veriyim mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:32:53] benbenimsensen | gücün eziklere mi yetiyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:33:21] Aransinh0 | kk benbenimsensen ayıp oluyo niye ezik diyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:33:54] erdem_vvp | yawww beyler dünyaya nasıl girebilirim tekrar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:37:16] Hello4555 | [event cancelled]ne? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:37:33] sevo_16 | team olcok? | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 19:38:24] Hello4555 | [event cancelled]emm bittimi? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:38:40] Dlight | zumrut alcak var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:40:18] ResSavage | nezaman ben vurabilcem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:40:25] Dlight | zumrutun var mı ramo | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:40:57] Dlight | zumrut var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:41:00] Hello4555 | [event cancelled]ne? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:41:00] nohutkrali | bişi dicemde ilk defa sunucuya girdim amac ne? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:43:25] Clawwolf | ne yaptım kk? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:45:21] Ramazan6414 | claw diger spler nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:47:42] EnderLord2711 | admin kim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:48:08] EnderLord2711 | admin kim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:49:01] Aransinh0 | elma saten var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:49:55] Dlight | ne kadar vercen | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:50:03] Dlight | 10 bin okey mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:50:43] sevo_16 | team olcak? | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 19:50:49] Aransinh0 | tm mı dlightü | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:51:35] Dlight | ici bos mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:54:43] Dlight | arklar netheriye kulcesi alcak var mı | enyakin=nether-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 19:55:18] Dlight | parası cok olan kim vsr | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 19:56:38] Hyper | ada ne zaman gelşir | enyakin=gokyuzu-etkinlik puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 19:56:51] Dlight | netherite kuklcesi kac verirsin | enyakin=nether-gitme puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 19:56:55] Hello4555 | Premisuly arkadaş olalımmı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 19:58:45] Aransinh0 | ya sen altın elma mı normak elma mı satıyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:00:01] topalcoo | bız nıye gıtmedık la | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:01:27] BetaPro51 | ne kadar kazandırı 1 saat te primusly | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:03:14] KemalGeliyorum_ | lobiye nasıl gidiliyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:03:47] Hello4555 | tpa ma kabul et olurmu? | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:04:51] Aransinh0 | para atabilcek var mı | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:05:37] Hello4555 | PrimsuLY lütfen tp mi kabul et | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:06:05] Dlight | OLMAZ MI | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:06:38] Haliko | bataklıkta olan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:07:28] AyiBogan064 | antik kalıntı mi satiyon | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:07:36] Hello4555 | efendim? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:07:50] erdem_vvp | hello arkadaş olalım mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:07:58] Dlight | aala sen alcan mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:08:06] adala7 | 18 k olur mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:08:34] Haliko | knk slime farmı yapsak daha hızlı olur mu | enyakin=en-iyi-farm puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:09:05] Dlight | 21 k okey mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:09:48] Dlight | 25 versen olmaz mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:10:31] Dlight | kadox alcan mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:11:03] ResSavage | event kasası nedir | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:11:08] erdem_vvp | event kasası açmama için ne yapmam lazim | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:11:14] oguzhan_MC_ | başlangıçda olan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:13:02] ResSavage | event kasası nasıl açılır | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:16:32] PrimusLY | nasıl yardımcı olabilirim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:17:51] TahaKun | kri̇stal ney nasil elde edecezz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:17:57] oguzhan_MC_ | bana alkadaşlık edebilicek biri var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:20:16] Hello4555 | ne adayok? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:23:28] erdem_vvp | sende ne kadar para var | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:25:33] erdem_vvp | olm biftek seni gördüm başka kimse denk gelmedi bana sana? | enyakin=site-paket puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:27:57] memati_09876 | kendi dünyamdan nasıl çıkarım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:28:52] erdem_vvp | kime yaltircaz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:29:40] PrimusLY | kendi dünyan? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:30:01] Haliko | bataklıkta olan var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:32:15] Hello4555 | rehber gündüz yaparmısın? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:32:28] memati_09876 | kendi̇ dünymdan nasi çikicam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:33:09] PrimusLY | sarı top? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:33:21] apathyharbi | gencler ? okeymi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:33:59] Hello4555 | Sımırsız banmı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:34:12] Dlight | kac gitti | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:34:18] topalcoo | ne kadar para | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:35:01] apathyharbi | gidicem yoksa gencler? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:39:27] oguzhan_MC_ | yemek sıkıntısı olan var mı bende beş sitek var | enyakin=site-kredi puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:45:22] faksbunny | rehber çekilise katılmak istiyorum nasıl katılcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:45:58] faksbunny | rehber dc den nasıl katılcam yani ne yapmam gerek | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:46:51] faksbunny | etkinlik kanalı nerde youtubedemi | enyakin=yaris puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:47:35] faksbunny | @admin etkinlik yeri iste neresi ben cok bilmiyom | enyakin=yaris puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 20:50:13] DR_TK187 | neden rehber deilsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:50:38] DR_TK187 | neden rehber deilsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:50:46] DR_TK187 | neden rehber deyilsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:52:14] DR_TK187 | neden rehber dwilsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:55:01] malesss | nası koruma kapıcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:55:14] benbenimsensen | acemi korumam bitti kim beni kesmek ister | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:56:05] apathyharbi | setin varmı? DR_TK187 | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:57:37] apathyharbi | DR_TK187 ecnden set varmı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 20:58:05] benbenimsensen | kim baseine beni çekecek | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 21:02:10] DR_TK187 | neden ya kesersen | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 21:02:15] apathyharbi | DR_TK187 canım niye kesiyim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 21:02:24] apathyharbi | DR_TK187 niye kesiyim seni? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 21:02:32] maceswap | elmas kaç tane var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 21:02:42] faksbunny | rehber günlük ödül aldım ama gelmedi neden | enyakin=site-paket puan=1 sebep=SINYAL_ZAYIF
[2026-09-21 21:02:44] Haliko | nasıl sın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 21:02:51] benbenimsensen | sen nasıl sın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-21 21:02:57] DR_TK187 | neden net set giyiyom | enyakin=- puan=0 sebep=ESLESME_YOK
